k_F,Delta_p,Delta_n
[1/fm],[MeV],[MeV]
0.0,,
0.01,0.0005960491276822797,
0.02,0.0023665190035511265,
0.03,0.005284440555912285,
0.04,0.009322244771892866,
0.05,0.0144517679329438,
0.06,0.02064425744055814,
0.07,0.027870378253254263,
0.08,0.03610021995631881,
0.09,0.045303304486237,
0.1,0.05544859453215249,
0.11,0.06650450263709541,
0.12,0.07843890102209028,
0.13,0.09121913215660184,
0.14,0.10481202009909563,
0.15,0.11918388263177308,
0.16,0.13430054421378962,
0.17,0.15012734977746753,
0.18,0.16662917939217825,
0.19,0.183770463820676,
0.2,0.201515200992718,
0.21,0.21982697342080387,
0.22,0.2386689665827906,
0.23,0.25800398829599647,
0.24,0.27779448910718924,
0.25,0.29800258372254795,
0.26,0.31859007350129287,
0.27,0.3395184700361915,
0.28,0.360749019843558,
0.29,0.3822427301846551,
0.3,0.403960396039604,
0.31,0.4258626282539519,
0.32,0.44790988287699174,
0.33,0.47006249170970865,
0.34,0.49228069407888575,
0.35000000000000003,0.5145246698523879,
0.36,0.5367545737089883,
0.37,0.5589305706742668,
0.38,0.581012872932108,
0.39,0.6029617779191473,
0.4,0.6247377077071402,
0.41000000000000003,0.6463012496756713,
0.42,0.6676131984748596,
0.43,0.6886345992747485,
0.44,0.7093267922949048,
0.45,0.7296514586043493,
0.46,0.7495706671783616,
0.47000000000000003,0.7690469231948552,
0.48,0.788043217548993,
0.49,0.8065230775604365,
0.5,0.8244506188431423,
0.51,0.8417905983028979,
0.52,0.8585084682228729,
0.53,0.8745704313923082,
0.54,0.8899434972281224,
0.55,0.904595538833647,
0.56,0.91849535093297,
0.5700000000000001,0.9316127086134186,
0.58,0.9439184268026221,
0.59,0.9553844204003268,
0.6,0.9659837649787401,
0.61,0.9756907579586581,
0.62,0.9844809801620106,
0.63,0.9923313576347473,
0.64,0.9992202236272559,
0.65,1.0051273806126981,
0.66,1.0100341622169047,
0.67,1.0139234949267146,
0.68,1.0167799594369937,
0.6900000000000001,1.018589851490012,
0.7000000000000001,1.0193412420544548,
0.71,1.01902403668513,
0.72,1.0176300338984616,
0.73,1.0151529823931507,
0.74,1.0115886369400187,
0.75,1.0069348127600557,
0.76,1.0011914382051086,
0.77,0.9943606055515722,
0.78,0.986446619713851,
0.79,0.9774560446813941,
0.8,0.9673977474807351,
0.81,0.9562829394622939,
0.8200000000000001,0.9441252147107626,
0.8300000000000001,0.930940585377735,
0.84,0.9167475137359116,
0.85,0.9015669407557519,
0.86,0.8854223110079334,
0.87,0.8683395936983669,
0.88,0.8503472996469649,
0.89,0.8314764940267814,
0.9,0.8117608046866365,
0.91,0.7912364258879063,
0.92,0.7699421172947932,
0.93,0.7479191980671517,
0.9400000000000001,0.7252115359157623,
0.9500000000000001,0.7018655309918859,
0.96,0.6779300944959362,
0.97,0.6534566219041468,
0.98,0.6284989607272159,
0.99,0.6031133727309629,
1.0,0.5773584905660378,
1.01,0.5512952687716214,
1.02,0.5249869291367489,
1.03,0.4984989004223482,
1.04,0.47189875246718604,
1.05,0.4452561247216036,
1.06,0.4186426492740788,
1.07,0.3921318684571716,
1.08,0.3657991471411959,
1.09,0.3397215798458735,
1.1,0.313977892822163,0.0
1.11,0.2886483412782749,0.0002258507168374037
1.12,0.2638146019454581,0.000899875820179508
1.1300000000000001,0.2395596612003433,0.0020160689271706625
1.1400000000000001,0.21596769898130952,0.003567487122465012
1.1500000000000001,0.19312396875637516,0.005546277108036228
1.16,0.17111467381936782,0.007943705724686221
1.17,0.15002684020945556,0.010750194598549067
1.18,0.12994818656642376,0.013955358630424245
1.19,0.11096699125018097,0.017548048014128126
1.2,0.09317195706782386,0.021516393442622895
1.21,0.0766520739650084,0.025847854137793495
1.22,0.06149648005029689,0.03052926832162516
1.23,0.04779432133147186,0.03554690573332751
1.24,0.03563461055143945,0.04088652178870554
1.25,0.025106085518219187,0.04653341297475266
1.26,0.016297067328568247,0.05247247307391183
1.27,0.009295318887966957,0.058688249818512
1.28,0.004187904130964392,0.0651650015862659
1.29,0.0010610483452227067,0.07188675376207264
1.3,0.0,0.07883735440931779
1.31,,0.08600052891497395
