n_b,rho_b,n_n,n_p,Delta_n,Delta_p,lambda,xi_n,xi_p,kappa,R,epsilon,m_eff_relL_n,m_eff_relL_p,A_nn,A_pp,A_np
[1/fm**3],[g/cm**3],[1/fm**3],[1/fm**3],[MeV],[MeV],[cm],[cm],[cm],[],[],[],[],[],[MeV fm**5],[MeV fm**5],[MeV fm**5]
0.06,99632340000000.0,0.058564609396317836,0.0014353906036821597,0.0220986631513554,0.5122494927541937,1.893757318074817e-11,7.864236109714373e-11,1.1242032059971352e-12,16.84532927830525,0.014295135475503495,0.024509522363046918,0.9198267689763466,0.8063319151054531,46.06238090997419,537.2299922325644,101.23533464341146
0.06108216432865731,101429316072144.28,0.059594650162491464,0.0014875141661658442,0.02512935428036955,0.5215331916420665,1.8602821478168942e-11,6.966598715218281e-11,1.121238245819347e-12,16.59131905955892,0.016094485869697688,0.02496053189522836,0.9184393312136654,0.803570565432417,45.85128440722349,521.2804059361265,101.17955839349995
0.062164328657314624,103226292144288.56,0.06062390353684821,0.0015404251204664118,0.02829258091028434,0.5307333241769684,1.828054239768783e-11,6.23252249416545e-11,1.1185292074605223e-12,16.343375099870183,0.01794665335757117,0.025409533708599216,0.917054298983488,0.8008294167439727,45.64627148630257,506.166963914583,101.12397125807324
0.06324649298597194,105023268216432.86,0.06165237813910506,0.0015941148468668846,0.0315789183735944,0.5398486891021154,1.7970061782796308e-11,5.623798442252393e-11,1.1160651128913577e-12,16.101266472026698,0.01984539674299496,0.02585650213313936,0.9156716888021894,0.7981082344642564,45.44703611655049,491.8312378154144,101.0685726755619
0.06432865731462925,106820244288577.14,0.06268008254484336,0.001648574769785886,0.03497939262902342,0.5488781739945954,1.767075270171291e-11,5.112850240189645e-11,1.1138357047213096e-12,15.864774873718266,0.021785025032925575,0.026301413508931518,0.9142915168433687,0.7954067876699021,45.25329284206014,478.21983176885027,101.01336207663059
0.06541082164328657,108617220360721.44,0.06370702528255698,0.0017037963607295977,0.038485461116299996,0.5578207509995254,1.738203141245249e-11,4.679356672439395e-11,1.1118313888496198e-12,15.633693729799425,0.023760347130581328,0.026744246072906784,0.9129137989347847,0.7927248490246855,45.06477507868886,465.2838712233873,100.95833888449584
0.06649298597194389,110414196432865.72,0.06473321483097233,0.0017597711409715585,0.0420889943581874,0.5666754727901957,1.7103353732636028e-11,4.308065611473113e-11,1.1100431825448153e-12,15.407827372468477,0.02576662666391573,0.027184979852562123,0.9115385505559982,0.7900621947151313,44.881233577431836,452.97855126548455,100.90350251523712
0.0675751503006012,112211172505010.0,0.06575865961662097,0.0018164906839802288,0.045782258278902935,0.5754414687398273,1.683421176761962e-11,3.987341565090646e-11,1.108462667360507e-12,15.186990291432705,0.027799541355201355,0.027623596566148646,0.9101657868366576,0.7874186043871004,44.702435035504536,441.26273665429716,100.84885237810022
0.06865731462925852,114008148577154.31,0.06678336801164583,0.00187394661761268,0.04955789721056813,0.5841179412916677,1.657413095649235e-11,3.7081779167405545e-11,1.1070819463682105e-12,14.97100644705109,0.02985514641490888,0.028060079528871573,0.9087955225553822,0.7847938610833725,44.52816083883346,430.0986069237593,100.79438787579392
0.06973947895791582,115805124649298.6,0.06780734833182438,0.0019321306260914465,0.053408917561420806,0.5927041625151633,1.6322667400614618e-11,3.4635111011428106e-11,1.1058936052508643e-12,14.759708640246576,0.03192984150926979,0.02849441356468189,0.9074277721391834,0.7821877511822329,44.35820592167773,419.4513408489756,100.74010840477915
0.07082164328657314,117602100721442.88,0.06883060883479288,0.0019910344517802725,0.0573286721212577,0.6011994708368691,1.6079405443774334e-11,3.247735464652755e-11,1.104890676855149e-12,14.552937933679697,0.03402034090770022,0.02892658492327375,0.9060625496633873,0.7796000643370756,44.192377730850275,409.28883537194383,100.68601335555125
0.07190380761523046,119399076793587.17,0.06985315771845715,0.00205064989677331,0.06131084498104514,0.609603267935582,1.5843955476836218e-11,3.056354263444176e-11,1.1040666088479803e-12,14.350543119285463,0.03612364646511293,0.029356581201932852,0.9046998688520085,0.7770305934170199,44.030495283515684,399.58145475766275,100.6321021129151
0.07298597194388777,121196052865731.45,0.07087500311957644,0.0021109688243113266,0.06534943704486158,0.6179150157919591,1.561595194304178e-11,2.8857247339357145e-11,1.1034152341635993e-12,14.152380227810468,0.038237023136253864,0.029784391271910283,0.9033397430785424,0.7744791344485491,43.87238830885003,390.3018063258795,100.5783740562533
0.07406813627254509,122993028937875.75,0.07189615311250766,0.0021719831600374344,0.06943875211339354,0.6261342338835708,1.53950515229606e-11,2.732869268056998e-11,1.1029307439634722e-12,13.958312076456604,0.04035797675560341,0.030210005209021094,0.9019821853671347,0.7719454865581672,43.717896464983376,381.4245395927337,100.52482855978732
